Keypoints,Class
"[[0.44916674 0.8824473  0.80364645]
"[[0.4386681  0.9299086  0.54240656]
 [0.43280208 0.94378304 0.50308275]
 [0.45794722 0.94661283 0.65139925]
 [0.42395574 0.92143273 0.77778375]
 [0.48835006 0.91701055 0.48022956]
 [0.33333758 0.85580283 0.62947834]
 [0.51972884 0.78523654 0.834648  ]
 [0.14397864 0.84600836 0.88008523]
 [0.69850194 0.7849544  0.90729296]
 [0.01550354 0.85726917 0.32013926]
 [0.86069345 0.8153635  0.8238996 ]
 [0.2473596  0.5250974  0.8207123 ]
 [0.33918867 0.5102807  0.8859269 ]
 [0.23612617 0.21998367 0.92732775]
 [0.6271642  0.48813003 0.6554306 ]
 [0.90373105 0.51960856 0.6961    ]
 [0.9027483  0.519743   0.6256497 ]]"
"[[0.5048918  0.2630091  0.7651102 ]
 [0.4940579  0.24941303 0.7371035 ]
 [0.5208397  0.2535777  0.6801753 ]
 [0.47470418 0.26002106 0.71049917]
 [0.5310471  0.268248   0.7649484 ]
 [0.43267956 0.30675402 0.81156874]
 [0.56900424 0.3190332  0.7489783 ]
 [0.33509582 0.3182048  0.7922326 ]
 [0.6503438  0.32074544 0.78574264]
 [0.23727114 0.30182913 0.9058967 ]
 [0.75148654 0.31014654 0.9146689 ]
 [0.4020417  0.47393793 0.5815861 ]
 [0.48443767 0.48176137 0.57908285]
 [0.31511357 0.6217735  0.8576604 ]
 [0.5860289  0.5244594  0.9309207 ]
 [0.22697917 0.74822545 0.9268517 ]
 [0.74252707 0.5278538  0.6748468 ]]"
"[[0.52565664 0.5524635  0.28824258]
 [0.52559024 0.53763396 0.5347484 ]
 [0.5394288  0.5397464  0.5483631 ]
 [0.52592295 0.5455112  0.640187  ]
 [0.5534215  0.54630375 0.3999319 ]
 [0.49119762 0.5761684  0.6822119 ]
 [0.59383786 0.6062359  0.44286782]
 [0.4171142  0.58838063 0.43695402]
 [0.66543543 0.60664964 0.84281904]
 [0.3479823  0.57746416 0.75057447]
 [0.7389617  0.5913746  0.768056  ]
 [0.45087138 0.71955585 0.5332302 ]
 [0.52513933 0.7341882  0.6533841 ]
 [0.39821827 0.8286913  0.47508326]
 [0.6254601  0.75458527 0.63138336]
 [0.31853005 0.9450848  0.6962943 ]
 [0.7370434  0.73993665 0.59849167]]"
"[[0.5376191  0.10452488 0.8706594 ]
 [0.5206285  0.08783668 0.87635064]
 [0.52422017 0.08814108 0.89230263]
 [0.46991792 0.09838467 0.8955351 ]
 [0.48294148 0.09697749 0.8440301 ]
 [0.39194924 0.19940922 0.9227964 ]
 [0.55508435 0.19613062 0.7626769 ]
 [0.2514216  0.2410373  0.7929404 ]
 [0.7040161  0.2041013  0.9726679 ]
 [0.10955854 0.2554126  0.9081478 ]
 [0.83581877 0.19247729 0.90779525]
 [0.41082576 0.4652232  0.7118856 ]
 [0.51429063 0.4504914  0.8852141 ]
 [0.3964834  0.6927953  0.90197   ]
 [0.71777636 0.47104704 0.87146854]
 [0.38343662 0.895784   0.9510565 ]
 [0.9356312  0.49349526 0.9586247 ]]"
"[[0.49127162 0.7565425  0.83160484]
 [0.50923294 0.771412   0.858996  ]
 [0.48361406 0.7703098  0.71338403]
 [0.5369739  0.7517721  0.86746657]
 [0.48881832 0.7496347  0.6587317 ]
 [0.5691816  0.674682   0.76924825]
 [0.44593796 0.69109553 0.70379794]
 [0.6670088  0.6649186  0.90965915]
 [0.3569694  0.69185483 0.78093493]
 [0.75849366 0.67192125 0.8371658 ]
 [0.2513716  0.688445   0.7003121 ]
 [0.5403973  0.4959824  0.62349606]
 [0.46379912 0.49481553 0.790539  ]
 [0.62881696 0.47968116 0.78303164]
 [0.47400713 0.3390603  0.7370314 ]
 [0.78697544 0.4895954  0.7857774 ]
 [0.4466295  0.20102006 0.6677456 ]]"
"[[0.5645473  0.16444531 0.6084669 ]
 [0.552425   0.15568978 0.66177315]
 [0.5848381  0.15221326 0.7654058 ]
 [0.52974814 0.1732437  0.79783094]
 [0.595304   0.17391399 0.738588  ]
 [0.47714293 0.21666835 0.89100236]
 [0.6245512  0.25376827 0.88478607]
 [0.36643276 0.23479342 0.8085073 ]
 [0.737703   0.26078618 0.77009404]
 [0.26843086 0.21810152 0.8480518 ]
 [0.83353615 0.2598659  0.95121115]
 [0.44605017 0.43293214 0.8103592 ]
 [0.52597344 0.44021842 0.71970826]
 [0.40391487 0.6201336  0.8880787 ]
 [0.6965739  0.43916076 0.9155839 ]
 [0.35679203 0.75870395 0.92296225]
 [0.86493295 0.42540625 0.88704515]]"
"[[0.47464812 0.660008   0.8177853 ]
 [0.49645847 0.66981655 0.65643656]
 [0.47019523 0.67229444 0.67007744]
 [0.5240443  0.6442143  0.8400695 ]
 [0.4791143  0.6536702  0.8153801 ]
 [0.5575921  0.58981043 0.84570295]
 [0.42173615 0.5940991  0.7855709 ]
 [0.65256554 0.58297163 0.8862015 ]
 [0.33338955 0.59377134 0.9430245 ]
 [0.7326812  0.61449623 0.9211006 ]
 [0.24203984 0.62572044 0.78534704]
 [0.52667695 0.39952403 0.7198619 ]
 [0.42920518 0.39503026 0.8618356 ]
 [0.6547725  0.3764692  0.9187572 ]
 [0.41182122 0.23171052 0.62600464]
 [0.7949864  0.3896763  0.7694372 ]
 [0.37852854 0.09935237 0.8931809 ]]"
"[[0.48038065 0.65087837 0.46530488]
 [0.4807946  0.65926635 0.5287221 ]
 [0.47298044 0.66097593 0.60657394]
 [0.48405308 0.65021193 0.7131488 ]
 [0.46731606 0.6543461  0.70591503]
 [0.5353625  0.613596   0.6769078 ]
 [0.43461195 0.6140574  0.79235256]
 [0.60191613 0.6197059  0.5880823 ]
 [0.35418165 0.60942674 0.46918413]
 [0.66068465 0.6349685  0.69586957]
 [0.28730315 0.6100989  0.732695  ]
 [0.5131303  0.47204706 0.691942  ]
 [0.42137477 0.4942823  0.7156165 ]
 [0.5728822  0.46080124 0.30496994]
 [0.36154288 0.3556154  0.6619456 ]
 [0.664617   0.46753064 0.2901455 ]
 [0.32253873 0.26670778 0.76285636]]"
"[[0.49407092 0.31047675 0.4867518 ]
 [0.50273585 0.30333203 0.5770182 ]
 [0.50897086 0.305956   0.7013507 ]
 [0.5193933  0.31253073 0.71749747]
 [0.5324305  0.31871256 0.73584884]
 [0.48089913 0.35897934 0.54554474]
 [0.55177116 0.38207427 0.4532266 ]
 [0.3568413  0.3651966  0.38762173]
 [0.64078915 0.4009986  0.794994  ]
 [0.28645867 0.3636974  0.61893225]
 [0.7268419  0.39664266 0.782419  ]
 [0.42063737 0.5327015  0.7795198 ]
 [0.46141466 0.5210126  0.5985565 ]
 [0.41455588 0.6845272  0.88020015]
 [0.6065857  0.53587717 0.68732446]
 [0.4092503  0.80764157 0.83715   ]
 [0.7285485  0.52561164 0.87342435]]"
